"nanyangSiteId","siteNameZh","siteNameAlt1","LATITUDE","LONGITUDE"
"tt-mb-d105B51","經續法林","Jing Xu Fa Lin",25.048316,121.553213
"tt-mb-d105B60","中華藏密大手印五支佛學會","Zhong Hua Cang Mi Da Shou Yin Wu Zhi Buddhist Institute",25.051003,121.569635
"tt-mb-d105B70","聖弟子法脈中心","Sheng Di Zi Fa Mai Zhong Xin",25.053506,121.562559
"tt-mb-d105B80","諾那華藏精舍台北總舍","Nuo Na Hua Cang Jing She Taipei Zong She",25.05169,121.559411
"tt-mb-d105B92","福智佛教基金會","Fu Zhi Fo Jiao Ji Jin Hui",25.051721,121.555195
"tt-mb-d105C00","台灣佐欽大圓滿佛學會","Taiwan Zuo Qin Da Yuan Man Buddhist Institute",25.050708,121.562661
"tt-mb-d105C13","法鼓山松山辦事處","Dharma Drum Mountain Sung Shan Office",25.058236,121.556543
"tt-mb-d105C20","詠給菩提學苑","Yong Gei Pu Ti Xue Yuan",25.047926,121.557979
"tt-mb-d105C30","台北市放生念佛會","Taipei Fang sheng Chanting Society",25.045798,121.553694
"tt-mb-d105C40","生命電視台北生命學院","Sheng Ming Dian Shi Taipei Sheng Ming Xue Yuan",25.058025,121.562401
"tt-mb-d105C50","台北淨宗學會","Amitabha Buddhist Society of Taipei",25.052566,121.545535
"tt-mb-d105C60","台北市宗南學佛會","UTBF Trungram Dharma Center: Taipei",25.053174,121.554287
"tt-mb-d105C70","中華佛心功德會總會","Zhong hua Buddha Heart World Headquarters",25.051384,121.556576
"tt-mb-d105C80","靈巖山台北松山念佛會","Ling Yan Shan Taipei Song Shan Chanting Society",25.052577,121.546642
"tt-mb-d105C90","虛空法林","Xu Kong Fa Lin",25.048513,121.555437
"tt-mb-d105D00","貝瑪禪密佛學會","Bei Ma Chan Mi Buddhist Institute",25.058972,121.557283
"tt-mb-d105D10","直貢噶舉竹節佛學會","Zhi Gong Kagyu Zhu Jie Buddhist Institute",25.058323,121.558721
"tt-mb-d105D20","和平法盛洲","He Ping Fa Cheng Zhou",25.057992,121.554265
"tt-mb-d105D30","寧瑪巴尼札佛學會","Nyingma Ni zha Buddhist Institute",25.064423,121.546845
"tt-mb-d105D40","台北市佛教全德廣場","Taipei Buddhist Chuan-der Garden",25.046096,121.557942
"tt-mb-d105D50","台北市護持大乘法脈基金會","Taipei Hu Chi Da Sheng Fa Mai Ji Jin Hui",25.051636,121.544817
"tt-mb-d105D61","中台山普賢精舍","Chung Tai Shan Pu Xian Meditation Center (Taipei)",25.059229,121.563822
"tt-mb-d105D70","台北市藍毗尼佛學會","Lumbini Buddhism Center",25.051204,121.562979
"tt-mb-d105D80","台北市菩提果學佛會","Taipei Pu Ti Guo Xue Fo Hui",25.059534,121.548171
"tt-mb-d105D90","台北市密宗薩迦塔爾畢楊澤學會","Taipei Mi Zong Sa Jia Ta Er Bi Yang Ze Xue Hui",25.050282,121.568659
"tt-mb-d105F00","清涼蘭若","Qing Liang Lan Ruo",25.050139,121.573508
"tt-mb-d105F10","攝山精舍","She Shan Jing She",25.046414,121.557374
"tt-mb-d105F20","台北金剛乘學會","Taipei Vajrayana Buddhist Institute",25.051626,121.545593
"tt-mb-d105F30","藥師寺","Yao Shi Si",25.051644,121.562515
"tt-mb-d105F40","國際佛學研究中心","International Buddhist Center",25.051264,121.561571
"tt-mb-d105F50","佛國寺","Fo Guo Si",25.051856,121.556581
"tt-mb-d105F60","自生遍在佛學中心-台北","Taipei Zi Sheng Bian Zai Buddhist Center",25.059212,121.555219
"tt-mb-d105F70","台北安祥禪學會","Taipei An Xiang Chan Xue Hui",25.050813,121.558898
"tt-mb-d105F80","創價學會德旺講堂","Chuang Jia Xue Hui De Wang Jiang Tang",25.049021,121.567345
"tt-mb-d105F90","生命電視台北東區中心","Sheng Ming Dian Shi Taipei Dong Qu Zhong Xin",25.049525,121.566601
"tt-mb-d106A10","法鼓山安和分院","Dharma Drum Mountain Anho Branch Monastery",25.039109,121.550288
"tt-mb-d106A30","中台山普得精舍","Chung Tai Shan Pu De Meditation Center",25.025414,121.540922
"tt-mb-d106A42","台北市圓通學苑","Taipei Yuan Tong Xue Yuan",25.029207,121.523673
"tt-mb-d106A50","法雲寺","Fa Yun Si",25.034269,121.533524
"tt-mb-d106A60","九龍蓮社","Jiu Long Lian She",25.035179,121.547796
"tt-mb-d106A70","觀音禪院","Guan Yin Chan Yuan",25.036932,121.533233
"tt-mb-d106A80","佛藏山台北文殊院","Fo Cang Shan Taipei Wen Shu Yuan",25.021335,121.53057
"tt-mb-d106A92","福州山念佛寺","Fu Zhou Shan Nian Fo Si",25.011898,121.553079
"tt-mb-d106B01","靈鷲山台北講堂","Ling Jiou Mountain Taipei Dharma Hall",25.033431,121.553193
"tt-mb-d106B20","佛天宮","Fo Tian Gong",25.022152,121.552131
"tt-mb-d106B30","中華佛教居士會","Chinese Buddhism Dharma Upholders Society",25.017974,121.531306
"tt-mb-d106B40","一心寺","Yi Xin Si",25.032802,121.538348
"tt-mb-d106B50","慈恩佛會","Ci En Fo Hui",25.024993,121.530254
"tt-mb-d106B60","玄成堂","Xuan Cheng Tang",25.013208,121.545375
"tt-mb-d106B70","慈善佛寺","Ci Shan Fo Si",25.029315,121.553693
"tt-mb-d106B80","玉鳳宮","Yu Feng Gong",25.019618,121.556788
"tt-mb-d106B90","清水宮","Qing Shui Gong",25.029937,121.543823
"tt-mb-d106C00","佛教力行學院台北學部","Fo Jiao Li Xing Xue Yuan Taipei Xue Bu",25.036657,121.557373
"tt-mb-d106C10","白雲禪寺","Bai Yun Chan Si",25.031953,121.552047
"tt-mb-d106C20","和南別苑","He Nan Bie Yuan",25.022869,121.53648
"tt-mb-d106C30","中華五眼護盲協會","Zhong Hua Wu Yan Hu Mang Xie Hui",25.030177,121.543913
"tt-mb-d106C40","珠龍宮","Zhu Long Gong",25.019108,121.557406
"tt-mb-d106C50","清山寺","Qing Shan Si",25.029013,121.543702
"tt-mb-d106C60","法藏精舍","Fa Cang Jing She",25.043208,121.54308
"tt-mb-d106C70","妙音佛堂","Miao Yin Fo Tang",25.035702,121.555898
"tt-mb-d106C80","台北妙廣文教基金會","Taipei Miao Guang Wen Jiao Ji Jin Hui",25.034156,121.556844
"tt-mb-d106D00","正法源學佛會","Zheng Fa Yuan Xue Fo Hui",25.036778,121.535975
"tt-mb-d106D10","中華慧炬佛學會","Zhong Hua Hui Ju Buddhist Institute",25.036364,121.536807
"tt-mb-d106D20","禪門佛教文化中心","Chan Men Fo Jiao Wen Hua Zhong Xin",25.041262,121.547216
"tt-mb-d106D30","唯真講堂","Wei Zhen Jiang Tang",25.017989,121.551293
"tt-mb-d106D40","華藏淨宗學會","Hwadzan Pureland Learning Center",25.033424,121.556216
"tt-mb-d106D50","聖脈生命協會","Sheng Mai Sheng Ming Xie Hui",25.031519,121.530907
"tt-mb-d106D60","中華民國菩提願學佛會","Pu ti yuan Buddhist Association (R.O.C.)",25.039739,121.551439
"tt-mb-d106D70","慈濟台北分會靜思堂","Ci Ji Taipei Fen Hui Jing Si Tang",25.043668,121.538451
"tt-mb-d106D80","台北市岡波巴金剛乘佛學會","Taipei Gang Po Ba Jin Gang Sheng Buddhist Institute",25.034033,121.546069
"tt-mb-d106D90","彌勒大佛工程台灣辦事處","Mi Le Da Fo Gong Cheng Taiwan Ban Shi Chu",25.02922,121.549339
"tt-mb-d106F00","中華民國無量壽佛學會","Amitayu Buddhism Center (R.O.C.)",25.042323,121.54668
"tt-mb-d106F10","寧瑪巴九乘法輪中心","Nyingma Jiu cheng Fa lun Buddhist Center",25.036497,121.548059
"tt-mb-d106F20","創古智慧金剛佛學中心","Chuang Gu Zhi Hui Jin Gang Buddhist Center",25.041574,121.555834
"tt-mb-d106F30","寧瑪巴白玉祥丘達吉林佛學會台北中心","Nyingmapa Palyul Jangchub Darjeling Taipei Center",25.04189,121.539202
"tt-mb-d106F40","寧瑪派明心精舍","Nyingma Dharmata Meditation Center",25.041695,121.550378
"tt-mb-d106F50","白玉福德增廣佛學會","Palyul Fu De Zeng Guang Buddhist Institute",25.039969,121.553325
"tt-mb-d106F60","佛教顯密智慧協會","Fo Jiao Xian Mi Zhi Hui Xie Hui",25.041393,121.54494
"tt-mb-d106F70","阿彌陀佛協會","A Mi Tuo Fo Xie Hui",25.041996,121.546601
"tt-mb-d106F80","台北市噶舉佛學會","Taipei Kagyu Buddhist Institute",25.034334,121.554935
"tt-mb-d106F90","中華佛教直貢噶舉菩曼日光林學會","Zhong Hua Fo Jiao Zhi Gong Kagyu Pu Man Ri Guang Lin Xue Hui",25.033777,121.554834
"tt-mb-d106G00","台灣哲蚌寺洛色林佛學會","Taiwan Zhe Bang Si Luo Se Lin Buddhist Institute",25.023199,121.528481
"tt-mb-d106G10","吉祥法輪學會","Ji Xiang Fa Lun Xue Hui",25.029389,121.553202
"tt-mb-d106G20","巴麥寺佛學會","Ba Mai Si Buddhist Institute",25.028359,121.552857
"tt-mb-d106G30","台北市薩迦詑巴福樂圓滿善住學佛會","Taipei Sa Jia Tuo Ba Fu Le Yuan Man Shan Zhu Xue Fo Hui",25.031738,121.553948
"tt-mb-d106G50","薩迦學院","Sakya College",25.028831,121.544168
"tt-mb-d106G60","中華民國蓮師事業金剛護法會","Taiwan Ogyen Mahaguru Society (R.O.C.)",25.034636,121.536645
"tt-mb-d106G70","台灣寧瑪洛札卡秋達瑪謌諦學佛會","Taiwan Nyingma Luo Zha Ka Qiu Da Ma Ge Di Xue Fo Hui",25.020008,121.553257
"tt-mb-d106G80","地藏學會","Di Cang Xue Hui",25.033171,121.542898
"tt-mb-d106G90","慧安精舍","Hui An Jing She",25.033887,121.545832
"tt-mb-d106H00","佛化人生新時代書院","Buddhist Life New Age College",25.017158,121.532162
"tt-mb-d106H10","弘願蓮社","Hong Yuan Lian She",25.031078,121.5468
"tt-mb-d106H20","慈明禪寺","Ci Ming Chan Si",25.017911,121.550507
"tt-mb-d106H30","佛海禪寺","Fo Hai Chan Si",25.024447,121.547385
"tt-mb-d106H40","彌陀精舍","Mi Tuo Jing She",25.041061,121.536917
